status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
1493132174233853_2105602359653495,,Wende Nyasaye,video,https://www.youtube.com/watch?v=sCNOLx2AopA,https://www.facebook.com/1493132174233853/posts/2105602359653495/,2018-06-21 09:15:25,22,1,3,21,1,0,0,0,0
1493132174233853_2092505610963170,"NO. 126 KIDICH NYASAYE (God's day of Rest)

1. Kidich Nyasaye, ndalo mamor, 
Meduru paro Jakonywa; 
To tinende waweyo tich 
Kaka Nyasaye nowachonwa

Paruru kawuono 
Kaka Nyasaye nochweyo piny; 
Ka nochweyo polo gi piny, 
Koro eka nodiro En; 
Wan bende tinende, 
Wachokre diro gi Nyasaye.

2. Nyasaye nowachonwa niya; 
Atieko gwedho Sabato; 
To wadwaro mondo Nyasaye 
Omednwa gweth mare tinde.

3. Keturu chunyu kuom Yesu, 
To en nomiu kuwe mare; 
Nitie wang'yo moro bende, 
To en modwaro witowa",,status,,https://www.facebook.com/1493132174233853/posts/2092505610963170/,2018-06-02 00:48:25,55,13,12,53,2,0,0,0,0
1493132174233853_2088221434724921,"NO.308 NOGOLA E BUGO 
(He Brought Me Out) Doh is E Flat

1. Ne litna ka richona nokelo tho, 
Kendo ka naywak e bugo mar richo;
Ruoth nowinja gi e bugo matutno, 
Modemba, Ogola, moketa e mor.

Nogola e bugo mar richo,
Nochunga e wi Lwanda resruok;
Oketo wer e chunya koro,
Wend pak mamit, Alleluya!

2. Noketa ewi Lwanda bute chutho, 
Nosira motegno mond' asik kanyo;
Ok naluor podho kasiko e lwete, 
Nagen kuom ng'uonone nyak ayud locho.

3. Nomiya wer mamit ne en wer mar pak, 
Odiechieng' gotieno anawer wendno;
Chunya nigi ilo amor an thuolo, 
Anapak Jawarna ma oseresa.

4. Anawer ng'uonone miwuoro kuoma, 
Anapaka nyaka ji none berne;
Anawer wend warruok kuonde duto te, 
Nyaka ji mang'eny noyie kuom Nyasaye.

Note: Song not in Seventh-day Adventist Hymnal. Was translated into Luo from Songs of Praise.

HE BROUGHT ME OUT

1. My heart was distressed 'neath Jehovah's dread frown,
And low in the pit where my sins dragged me down;
I cried to the Lord from the deep miry clay,
Who tenderly brought me out to golden day.

He brought me out of the miry clay,
He set my feet on the Rock to stay;
He puts a song in my soul today,
A song of praise, hallelujah!

2. He placed me upon the strong Rock by His side,
My steps were established and here I'll abide;
No danger of falling while here I remain,
But stand by His grace until the crown I gain.

3. He gave me a song, 'twas a new song of praise;
By day and by night its sweet notes I will raise;
My heart's overflowing, I'm happy and free;
I'll praise my Redeemer, Who has rescued me.

4. I'll sing of His wonderful mercy to me,
I'll praise Him till all men His goodness shall see;
I'll sing of salvation at home and abroad,
Till many shall hear the truth and trust in God.

Twitter: @wendenyasaye          

https://www.youtube.com/watch?v=kJDxHkvmGSM",Nogola E Bugo Mar Richo - He Brought Me Out (Nyar Gendia),video,https://www.youtube.com/watch?v=kJDxHkvmGSM,https://www.facebook.com/1493132174233853/posts/2088221434724921/,2018-05-24 10:05:32,68,10,20,65,3,0,0,0,0
1493132174233853_2086924854854579,"NO. 22 KIK IBARNA, YAYE JAKONYA (Pass me not)

1. Kik ibarna, yaye Jakonya, Winji yuak mara; 
In kiluongo jo mamagi Mond' iluonga be.

Yesu, Yesu. Winji yuak mara; 
In kiluongo jo mamagi Mond' iluonga be.

2. An kaparo ng'wono mari Chunya yudo kuwe; 
Ka agoni chonga piny ka, Jawarna, konya.

3. An ageno nyingi kende, Adwaro neni; 
Changi chunya moseketho, Wara gi rembi.

4. Miwaso oherwa kodi, To agombi ngang'; 
Ere ng'a maromo kodi E piny gi polo? 
. 
. 
NO 22 NYIMBO ZA KRISTO Usinipite Mwokozi

1. Usinipite, Mwokozi, unisikie; 
Unapozuru wengine, usinipite.

Bwana, Bwana, unisikie; 
Unapozuru wengine, usinipite.

2. Kiti chako cha rehema, nakitazama; 
Magoti napiga pale, nisamehewe.

3. Sina ya kutegemea, ila wewe tu; 
Uso wako uwe kwangu; nakuabudu

4. Wewe tu u Mfariji; sina mbinguni, 
Wala duniani pote, Bwana mwingine . 
. 
.
NO.569 SDA HYMNAL Pass Me not

1. Pass me not, O gentle Savior, hear my humble cry; 
while on others thou art calling, do not pass me by.

Savior, Savior, hear my humble cry; 
while on others thou art calling, do not pass me by.

2. Let me at thy throne of mercy find a sweet relief, 
kneeling there in deep contrition; help my unbelief.

3. Trusting only in thy merit, would I seek thy face; 
heal my wounded, broken spirit, save me by thy grace.

4. Thou the spring of all my comfort, more than life to me, 
whom have I on earth beside thee? Whom in heaven but thee?

https://www.youtube.com/watch?v=sCNOLx2AopA",Kik Ibarna Yaye Jakonya - Pass Me Not O Gentle Savior (Nyar Gendia),video,https://www.youtube.com/watch?v=sCNOLx2AopA,https://www.facebook.com/1493132174233853/posts/2086924854854579/,2018-05-21 13:08:48,72,6,23,72,0,0,0,0,0
1493132174233853_2085442988336099,"NO. 235 WUOTH POD ODONG' MAROM NADE? 
(How Far from Home?) Doh is E Flat Major

1. Wuoth pod odong' marom nade? 
Jarit odwoko wach kama: 
'Otieno chiegini rumo, 
Piny biro mana ru.' 
Kik koro ibed gi kuyo, 
Iteg wang'i ku midhiye, 
Nyak' idonje pinyruodh Nyasaye, 
Kar ler ma nyaka chieng'.

2. Napenjo kendo jakedo; 
Nomiya wach mahoyo chuny; 
'Kedi matek, ibed jachir, 
Ndalo odong' matin.' 
Kik koro ibed gi kuyo, 
Tim kinda nyaka tich rumo; 
Wabiro yudo pok maber 
Kwaseyudo locho

3. Napenjo kendo kak' obet; 
Piny ngima nodwoka kama: 
'Wuoth me pinyni dwaro rumo, 
Waki ma nyaka chieng' 
' Kik koro wabed gi kuyo, 
Ranyisi ng'eny mayangonwa 
Ni chwech duto rito winjo 
Dwond Ruodhwa kobiro.

4. Ok bor koro nyaka thurwa! 
Wachni hoyo chunywa e yo; 
Ogolo kuyo gi pi wang', 
Omiyo chunywa kuwe. 
Kik koro wabed gi kuyo, 
Podi matin to wanarom 
E kar mor chutho mochwere, 
E dala mar Wuonwa . 
. 
.
NO. 58 NYIMBO ZA KRISTO U Mwendo Gani Nyumbani?

1. U mwendo gani nyumbani? Mlinzi akanijibu,
""Usiku sasa waisha, macheo karibu. ""
Usihuzunike tena, bali ulemee mwendo 
Hata ushike ufalme kule mwangani juu.

2. Na tena niliuliza, nchi yote ikajibu: 
""Sasa mwendo watimika, milele karibu. ""
Usihuzunike tena, ishara kuu zasonga
Na viumbe vyangojea sauti ya Bwana.

3. Nikamwuliza shujaa, ndivyo kanitia moyo: 
""Shikilia mapigano, kitambo yaisha. ""
Usihuzunike tena, kazi ifanywe kwa moyo; 
Tumeahidiwa tunu tuishapo shinda.

4. Siyo mbali na nyumbani! Fikara tamu njiani, 
Latupoza roho, nalo lafuta machozi. 
Usihuzunike tena, kitambo tutakutana
Wenye furaha kamili nyumbani mwa Baba. 
. 
. 
NO. 439 SDA HYMNAL How Far From Home?

1. How far from home? I asked, as on 
I bent my steps—the watchman spake: 
""The long, dark night is almost gone, 
The morning soon will break. 
Then weep no more, but speed thy flight, 
With Hope's bright star thy guiding ray, 
Till thou shalt reach the realms of light, 
In everlasting day.""

2. I asked the warrior on the field; 
This was his soul-inspiring song: 
""With courage bold, the sword I'll wield, 
The battle is not long. 
Then weep no more, but well endure 
The conflict, till thy work is done; 
For this we know, the prize is sure, 
When victory is won.""

3. I asked again; earth, sea, and sun 
Seemed, with one voice, to make reply: 
""Time's wasting sands are nearly run, 
Eternity is nigh. Then weep no more—
with warning tones, 
Portentous sights are thick'ning round, 
The whole creation, waiting, groans, 
To hear the trumpet sound.""

4. Not far from home! O blessed thought! 
The trav'ler's lonely heart to cheer; 
Which oft a healing balm has brought, 
And dried the mourner's tear. 
Then weep no more, since we shall meet 
Where weary footsteps never roam— 
Our trials past, our joys complete, 
Safe in our Father's home.

- Annie R Smith

Twitter: @wendenyasaye                      
https://www.youtube.com/watch?v=ORpiMbH_D-k",How Far From Home - Wuoth Pod Odong' Marom Nade (Nyar Gendia),video,https://www.youtube.com/watch?v=ORpiMbH_D-k,https://www.facebook.com/1493132174233853/posts/2085442988336099/,2018-05-18 14:51:02,68,8,23,67,1,0,0,0,0
1493132174233853_2078793149001083,"NO. 257 KA BOCHE POLO OYAWO E WI GODE MABEYO 
(We Shall know)
1. Ka boche polo oyawo e wi gode mabeyo
Kendo ka chieng' marieny maber osemenyo wi gode.
Wanyalo somo herane, e lihudu me polo,
Eka wanag'ere maber, ak rondo oserumo.

Wanang'e...................re malong'o
(Wanang'e.....re malong'o)
Ok wana........................pogre kendo
(Ok wana.............pogre kendo)
E saa ma.........................piny yaworenwa,
(E saa ma ............................piny yaworenwa)
Ka rondo..............................oserumo
(Ka rondo oserumo, oserumo)
E saa ma ...........................piny yaworenwa
(E saa ma piny yaworenwa)
Ka rondo ....................................oserumo
(Ka rondo oserumo, oserumo)

2. Ka watimo marach ka wakia ni wan dhano matho,
Ka waweyo chik mag ng'wono kwatemo bedo maber,
Ng'wonone mar kuwe noumwa, Richowa mag ndalogi,
Ka tich matek oserumo- Ka rondo oserumo.

3. Ka rondo oseyawore wanang'e osiepewa,
Kaka wuonwa bende ong'eyo nyithinde duto te,
Ka ndalo maduong'no biro, koa malo yor ugwe
E chunywa duto warito, Nyaka rondo rum chutho.

Note: Song not in SDA Hymnal.

WHEN THE MISTS HAVE ROLL'D

1. When the mists have roll'd in splendor
From the beauty of the hills,
And the sunshine, warm and tender,
Falls in kisses on the rills,
We may read love's shining letter
In the rainbow of the spray,—
We shall know each other better
When the mists have cleared away.

We shall know as we are known,
Never more to walk alone,
In the dawning of the morning,
When the mists have cleared away;
In the dawning of the morning,
When the mists have cleared away.

2. If we err, in human blindness,
And forget that we are dust;
If we miss the law of kindness
When we struggle to be just,
Snowy wings of peace shall cover
All the plain that hides away,—
When the weary watch if over,
And the mists have cleared away.

3. When the mists have risen above us,
As our Father knows his own,
Face to face with those that love us,
We shall know as we are known;
Love, beyond the orient meadows
Floats the golden fringe of day,
Heart to heart, we bide the shadows,
Till the mists have cleared away.

Twitter: @wendenyasaye   

https://www.youtube.com/watch?v=w3vjdm18zqI","Ka Boche Polo Oyawo - King's Ministers Melodies, KMM, Official Channel",video,https://www.youtube.com/watch?v=w3vjdm18zqI,https://www.facebook.com/1493132174233853/posts/2078793149001083/,2018-05-04 19:58:00,68,0,16,68,0,0,0,0,0
1493132174233853_2078799785667086,,'s cover photo,photo,https://www.facebook.com/WendeNyasaye/photos/a.1493290400884697.1073741827.1493132174233853/2078799785667086/?type=3,https://www.facebook.com/1493132174233853/posts/2078799862333745/,2018-05-04 15:14:13,76,3,3,74,1,0,1,0,0
1493132174233853_2076159712597760,"NO. 79 KIK IBADHRI NI TICH (Ask not to be excused) 
Doh is E Major

1. Kik ibadhri ni tich, tichno moneg' itim;
Ikri mondo iti ka ma onyisoi;
Ruodhwa oluongoi, oluongoi pile;
Yie mond' iwinj dwonde, itine gi chunyi.

Bi koro (tinde), kik idagi biro;
Bi koro (tinde), ikri mondo iti;
Kik ibadhri ni tich, Ruodhwa di po dwoki,
Nichayo herana, ok nidonj e polo.

2. Kik ibadhri ni tich, Ruoth oluongi tinde;
Kik idage kendo, reti iwinj dwonde;
Puothe to osechiek, jokeyo e manok;
In, yaw chunyi koro, mondo iti ni Ruoth.

3. Kik ibadhri ni tich, kik ideki koro;
Kichayo herane, di po koweyi chuth;
Ka pod nitie ng'wono manyisi yor polo,
Yesu pod osayi, Bi mond' oweni keth.

ASK NOT TO BE EXCUSED

 1. Ask not to be excused,
There's earnest work to do;
Stand ready to be used
Where God may station you.
His invitation kind
To thee has oft been giv'n;
Accept, and thou shalt find
'Tis sweet to work for Heav'n.

Come, O come!
Ask not to be excused;
Come, O come!
Stand ready to be used.
Ask not to be excused,
This answer may be giv'n:
Thou hast my love abused,
Thou art excused from heav'n.

2. Ask not to be excused,
The Master calls today;
Too long hast thou refused,
Now hasten to obey.
The harvest fields are white,
The laborers are few;
Let this be thy delight,
The Master's work to do 

3. Ask not to be excused,
There's danger in delay;
That wondrous love abused,
Forever turns away.
While Mercy gently pleads
And points the way to heav'n,
While Jesus intercedes,
O come and be forgiv'n! 

- F.E Belden",,photo,https://www.facebook.com/WendeNyasaye/photos/a.1494214964125574.1073741828.1493132174233853/2076159262597805/?type=3,https://www.facebook.com/1493132174233853/posts/2076159712597760/,2018-04-29 12:22:29,45,0,15,45,0,0,0,0,0
1493132174233853_2071794366367628,"NO.179 CHUNYI DICH NIKECH PARRUOK 
(Crowded in your heart)

1. Chunyi dich nikech parruok, Dak imi Yesu kinde?
Weche piny otweyoi, Dak imi Yesu kinde?
Ne! ochungo e dhoot Odwong'o mond' iyawne;
Winje koro kosayo- Dak imi Yesu kinde.

2. Saa okadhoni nono, Dak iti tich mar Yesu?
Nyasaye nomiyi teko, Mond iti tich mar Yesu,
Dak item loyo richo, Dak ikony jo moketho,
Dwaro jogo mobayo yo, Dak iti tich mar Yesu?

3. In midwaro gik mag piny, Dak ipar Yesu Ruodhwa?
Yaw chunyi ni tim maber, Kitiyo ni Ruoth Yesu,
Mor mag piny gi mwandune Kelo mor e chuny dhano;
To ok en mor mosiko; Dak wami Yesu kinde?

4. Ka dwabed pot yath kende; To ok wanyag olembe.
Luetewa nobed nono Ndalo maduong' mar keyo;
Onge gi mwakel chieng'no, Tichwa nobedi kayiem,
Mi ok wanayud mor ngang' Kwaromo gi Ruoth Yesu

CROWDED IN YOUR HEART

1. Crowded is your heart with cares,
Have you no room for Jesus?
Captured by earth's gilded snares,
Have you no room for Jesus?
Lo! he's standing at your door,
Knocking, knocking o'er and o'er;
Hear him pleading evermore,
Have you no room for Jesus?

Have you no room for Jesus?
Have you no room for Jesus?
Hear Him pleading evermore;
Have you no room for Jesus?

2. Wasting all your precious hours,
Can you not work for Jesus?
Vainly spending all you pow'rs;,
Can you not work for Jesus?
Striving not to conquer sin;
Seeking not a soul to win;
Bringing not a wand'rer in;
Can you not work for Jesus?

3. Bearing only worthless leaves,
Have you no fruit for Jesus?
In your hand no precious sheaves;
Have you no fruit for Jesus?
Not a grain to store away;
Naught your labor to repay;
Not a joy for that great day
When you shall meet with Jesus? 

- Mary D. James

Twitter: @wendenyasaye",,photo,https://www.facebook.com/WendeNyasaye/photos/a.1494214964125574.1073741828.1493132174233853/2071788603034871/?type=3,https://www.facebook.com/1493132174233853/posts/2071794366367628/,2018-04-20 02:46:21,205,50,113,198,7,0,0,0,0
1493132174233853_2069478649932533,"NO. 131 NYASAYE, GOKINY MOND' IWINJA 
(Lord, in the morning) Doh is E

1. Nyasaye, gokiny mond' iwinja; Ka dwonda pakoi;
In e malamoi koro; Kating'oni wang'a.

2. Ageno Kristo ma Jawar, Masayo ni joge;
Onyiso Wuoro e polo, Yuakwa gi wendewa.

3. Muche mondo taya pile; E yorene maler;
Onyisa tich moneg' atim, Atim gi chuny maler.

4. Jo moheri kendo luori, Nichopi dwarogi;
Nyasaye maduong' oritogi, Gineno ng'wonone.
.
.
NO. 89 NYIMBO ZA KRISTO Asubuhi

1. Bwana asubuhi kucha nitakuinua
Sauti yangu kuomba, nipate Baraka.

2. Nakuomba roho yako, niongezwe nayo;
Nifanye yanipasayo, na mapenzi yako.

3. Wanaokutegemea, U mlinzi wao;
Matumaini wanayo, utayatimiza.

4. Na kwa wingi wa fadhili, Nyumbani mwako juu
Nitaingia kwa wimbo, pale kusujudu.
.
.
NO. 39 SDA HYMNAL Lord, in the morning

1. Lord, in the morning Thou shalt hear
My voice ascending high;
To Thee will I direct my prayer,
To Thee lift up mine eye-

2. Up to the hills where Christ is gone
To plead for all His saints,
Presenting at His Father's throne
Our songs and our complaints.

3. O may Thy Spirit guide my feet
In ways of righteousness;
Make every path of duty straight
And plain before my face.

4. The men that love and fear Thy name
Shall see their hopes fulfilled;
The mighty God will compass them
With favor as a shield.

ORIGINAL English Version:

1. Lord, in the morning thou shalt hear My voice ascending high; 
To thee will I direct my prayer, To thee lift up mine eye:

2. Up to the heav'ns, where Christ is gone To plead for all his saints,
Presenting at his Father's throne Our songs and our complaints.

3. Thou art a God before whose sight The wicked shall not stand; 
Sinners shall ne'er be thy delight, Now dwell at thy right hand.

4. But to thy house will I resort, To taste thy mercies there; 
I will frequent thy holy court, And worship in thy fear.

5 O may thy Spirit guide my feet In ways of righteousness; 
Make every path of duty straight And plain before my face. 
- Isaac Watts

Twitter: @wendenyasaye",,status,,https://www.facebook.com/1493132174233853/posts/2069478649932533/,2018-04-14 19:41:10,38,3,15,38,0,0,0,0,0
